player,team,season,position,age,minutes,goals_per90,assists_per90,goal_contributions_per90
Ben White,Arsenal,2425,DF,26.0,1198,0.0,0.15,0.15
Bukayo Saka,Arsenal,2425,"FW,MF",22.0,1729,0.31,0.52,0.83
David Raya,Arsenal,2425,GK,28.0,3420,0.0,0.0,0.0
Declan Rice,Arsenal,2425,MF,25.0,2825,0.13,0.22,0.35
Gabriel Magalhães,Arsenal,2425,DF,26.0,2363,0.11,0.04,0.15
Gabriel Martinelli,Arsenal,2425,"FW,MF",23.0,2290,0.31,0.16,0.47
Jakub Kiwior,Arsenal,2425,DF,24.0,1122,0.08,0.0,0.08
Jurriën Timber,Arsenal,2425,DF,23.0,2417,0.04,0.11,0.15
Kai Havertz,Arsenal,2425,FW,25.0,1875,0.43,0.14,0.58
Leandro Trossard,Arsenal,2425,FW,29.0,2546,0.28,0.25,0.53
Martin Ødegaard,Arsenal,2425,MF,25.0,2325,0.12,0.31,0.43
Mikel Merino,Arsenal,2425,"MF,FW",28.0,1586,0.4,0.11,0.51
Myles Lewis-Skelly,Arsenal,2425,DF,17.0,1369,0.07,0.0,0.07
Riccardo Calafiori,Arsenal,2425,DF,22.0,983,0.18,0.09,0.27
Thomas Partey,Arsenal,2425,"MF,DF",31.0,2797,0.13,0.06,0.19
William Saliba,Arsenal,2425,DF,23.0,3039,0.06,0.0,0.06
Amadou Onana,Aston Villa,2425,MF,22.0,1617,0.17,0.0,0.17
Boubacar Kamara,Aston Villa,2425,"MF,DF",24.0,1726,0.05,0.0,0.05
Emiliano Martínez,Aston Villa,2425,GK,31.0,3194,0.0,0.0,0.0
Ezri Konsa,Aston Villa,2425,DF,26.0,2936,0.06,0.0,0.06
Ian Maatsen,Aston Villa,2425,DF,22.0,1139,0.08,0.16,0.24
Jacob Ramsey,Aston Villa,2425,MF,23.0,1623,0.06,0.17,0.22
John McGinn,Aston Villa,2425,MF,29.0,2223,0.04,0.16,0.2
Leon Bailey,Aston Villa,2425,MF,26.0,1139,0.08,0.16,0.24
Lucas Digne,Aston Villa,2425,DF,31.0,2351,0.0,0.15,0.15
Matty Cash,Aston Villa,2425,DF,26.0,2070,0.04,0.04,0.09
Morgan Rogers,Aston Villa,2425,MF,22.0,3114,0.23,0.29,0.52
Ollie Watkins,Aston Villa,2425,FW,28.0,2598,0.55,0.28,0.83
Pau Torres,Aston Villa,2425,DF,27.0,2020,0.0,0.0,0.0
Tyrone Mings,Aston Villa,2425,DF,31.0,1120,0.0,0.0,0.0
Youri Tielemans,Aston Villa,2425,MF,27.0,3026,0.09,0.21,0.3
Adam Smith,Bournemouth,2425,DF,33.0,1590,0.0,0.0,0.0
Antoine Semenyo,Bournemouth,2425,MF,24.0,3203,0.31,0.14,0.45
Dango Ouattara,Bournemouth,2425,"MF,FW",22.0,2005,0.31,0.18,0.49
David Brooks,Bournemouth,2425,MF,27.0,960,0.19,0.0,0.19
Dean Huijsen,Bournemouth,2425,DF,19.0,2427,0.11,0.07,0.19
